Time,X,Y,Z,X_f,Y_f,Z_f
3051624,-32,0,32,-0.517407,0.787361,-2.322657
3051722,-32,64,-32,-0.557097,0.854844,-2.382858
3051917,96,-64,-32,-0.435445,0.785594,-2.442851
3052014,0,32,32,-0.434896,0.818931,-2.373183
3052112,64,0,-96,-0.353763,0.818057,-2.562312
3052258,64,0,-32,-0.272729,0.817185,-2.621768
3052356,0,32,0,-0.272386,0.850404,-2.61648
3052453,96,96,0,-0.151309,0.951721,-2.611213
3052648,0,0,0,-0.151118,0.950707,-2.605968
3052746,96,-64,-64,-0.030265,0.88156,-2.729064
3052843,0,0,32,-0.030227,0.880622,-2.659486
3052900,64,-64,0,0.050142,0.878663,-2.904446
3053136,-64,32,64,-0.030216,0.911782,-2.770773
3053282,0,-64,0,-0.030179,0.842734,-2.765241
3053428,-64,0,128,-0.110337,0.841838,-2.504657
3053526,0,-64,-32,-0.110199,0.77292,-2.56347
3053672,64,32,-32,-0.029963,0.806118,-2.622084
3053769,128,96,160,0.130277,0.907274,-2.298725
3053867,64,64,32,0.210319,0.974375,-2.23044
3053964,0,-32,-64,0.210055,0.939299,-2.353257
3054062,-64,0,128,0.129685,0.9383,-2.09427
3054159,0,32,0,0.129523,0.971294,-2.090106
3054257,-32,0,-64,0.089356,0.970262,-2.212946
3054354,32,64,96,0.129225,1.037113,-2.018221
3054452,32,-32,-96,0.16902,1.002066,-2.204553
3054549,0,-32,-32,0.168809,0.967071,-2.26362
3054647,-64,0,96,0.088834,0.966045,-2.069089
3054744,-192,-32,128,-0.150577,0.931138,-1.811598
3054842,608,-640,-32,0.609357,0.252741,-1.871397
3054939,256,-640,96,0.931962,-0.43289,-1.677794
3055037,-288,-64,-544,0.565589,-0.501759,-2.750558
3055134,544,608,-160,1.257777,0.157622,-3.064358
3055232,736,192,448,2.202594,0.367805,-2.163206
3055329,512,96,320,2.866917,0.472866,-1.515077
3055427,64,256,448,2.947287,0.753815,-0.606754
3055524,96,192,256,3.069609,0.964929,-0.084638
3055622,-64,32,-32,2.981395,0.999282,-0.149776
3055719,3680,288,928,7.817746,1.316803,1.741886
3055817,-96,-1952,-3168,7.67136,-0.854226,-4.824655
3055915,2176,-480,-928,10.730788,-1.406943,-6.853907
3056013,448,96,192,11.373568,-1.293635,-6.409726
3056109,256,32,-160,11.735773,-1.254876,-6.753395
3056207,-32,-32,0,11.670795,-1.29065,-6.738271
3056304,0,-192,-160,11.653467,-1.512433,-7.080768
3056402,0,160,-288,11.636186,-1.324107,-7.709058
3056499,-512,-416,-192,10.860646,-1.808619,-8.122621
3056597,-320,608,-320,10.366228,-1.091048,-8.823497
3056743,-288,32,128,9.918092,-1.051682,-8.514796
3056841,-416,160,128,9.27553,-0.860188,-8.206646
3056938,-32,0,256,9.212825,-0.859163,-7.609984
3057036,96,32,64,9.34458,-0.82006,-7.44778
3057133,64,160,160,9.427572,-0.628781,-7.06881
3057279,256,32,-320,9.801824,-0.589894,-7.777802
3057377,-64,-64,192,9.689425,-0.665425,-7.323379
3057523,-160,-160,32,9.513701,-0.816264,-7.508107
3057718,-32,0,0,9.45039,-0.81529,-7.491023
3057816,64,-96,-160,9.533525,-0.92871,-7.837312
3057913,-160,-96,-288,9.275265,-1.042075,-8.473944
3058012,192,0,-128,9.554136,-1.040831,-8.746449
3058108,448,-32,384,10.224705,-1.07773,-7.850938
3058206,-1056,-384,160,8.582233,-1.53386,-7.466094
3058303,352,-1312,224,9.121686,-3.104934,-6.934837
3058401,-544,-320,224,8.248238,-3.494326,-6.40357
3058547,288,-704,-384,8.694176,-4.359476,-7.274232
3058645,320,64,128,9.19239,-4.273974,-6.96069
3058742,32,-96,-288,9.22906,-4.388715,-7.612339
3058888,32,-96,-160,9.265629,-4.50338,-7.966841
3058986,288,-1024,-192,9.712742,-5.780162,-8.395267
3059083,192,0,-384,10.006302,-5.772785,-9.270839
3059181,320,352,-448,10.506536,-5.3167,-10.298829
3059278,64,416,-320,10.593252,-4.77646,-11.029134
3059376,128,128,-352,10.783471,-4.604992,-11.836241
3059473,352,64,-672,11.336699,-4.516275,-13.40582
3059571,160,0,-352,11.578981,-4.510434,-14.219517
3059668,-480,-192,-256,10.776764,-4.752614,-14.803078
3059766,384,256,-192,11.390811,-4.414975,-15.231788
3059863,-256,224,-160,10.948335,-4.118052,-15.58243
3059961,352,-192,-96,11.51478,-4.363081,-15.7773
3060058,192,-160,-32,11.816085,-4.566553,-15.816579
3060156,-448,-224,192,11.046978,-4.853945,-15.314458
3060253,-256,64,-64,10.596956,-4.76349,-15.432294
3060351,224,-192,-256,10.957888,-5.009482,-16.01371
3060448,-256,128,96,10.50522,-4.834311,-15.742347
3060546,192,-224,320,10.814089,-5.123335,-14.929132
3060643,0,-224,1280,10.79565,-5.41286,-11.779255
3060741,0,256,-320,10.77727,-5.066016,-12.546495
3061033,-512,64,192,9.048467,-5.732539,-12.243868
3061131,-96,-448,64,8.866875,-6.327578,-12.053241
3061228,384,-32,256,9.515586,-6.362377,-11.383702
3061326,704,-96,-352,10.723452,-6.483777,-12.236906
3061521,64,544,-480,11.192231,-5.598719,-14.109076
3061618,96,160,-448,11.341783,-5.372027,-15.211243
3061716,-256,-672,-384,10.870379,-6.286355,-16.153751
3061813,64,-416,-384,10.964397,-6.855009,-17.098354
3061960,-416,-352,160,10.209381,-7.337296,-16.641415
3062057,128,-32,-704,10.419079,-7.371948,-18.416584
3062155,320,352,160,10.970529,-6.867485,-17.950691
3062252,128,-192,-352,11.179906,-7.12886,-18.823807
3062350,8960,608,-480,27.198978,-6.258421,-20.034067
3062447,-12192,-2560,10976,1.465183,-9.911322,9.011939
3062545,-6912,-1248,7872,-16.605503,-11.769956,34.268387
3062642,768,-256,1984,-14.278028,-12.145099,41.489082
3062886,256,-128,96,-13.466133,-12.323648,41.698029
